JORNADA,TEAM,POINTS
1,Leganés,58
1,Alavés,38
1,Valencia,69
1,Las Palmas,38
1,Celta,52
1,Real Sociedad,74
1,Girona,56
1,Atlético,50
1,Sevilla,57
1,Espanyol,55
1,Athletic,58
1,Getafe,37
1,Barcelona,76
1,Betis,36
1,Deportivo,24
1,Real Madrid,102
1,Levante,57
1,Villarreal,38
1,Málaga,36
1,Eibar,67
2,Real Sociedad,108
2,Villarreal,32
2,Betis,76
2,Celta,45
2,Alavés,28
2,Barcelona,94
2,Girona,65
2,Málaga,38
2,Levante,60
2,Deportivo,69
2,Las Palmas,35
2,Atlético,103
2,Espanyol,42
2,Leganés,57
2,Eibar,29
2,Athletic,53
2,Getafe,24
2,Sevilla,74
2,Real Madrid,76
2,Valencia,62
3,Leganés,37
3,Getafe,50
3,Real Madrid,56
3,Levante,51
3,Valencia,54
3,Atlético,60
3,Sevilla,88
3,Eibar,12
3,Barcelona,137
3,Espanyol,0
3,Deportivo,40
3,Real Sociedad,96
3,Athletic,63
3,Girona,36
3,Villarreal,80
3,Betis,37
3,Celta,83
3,Alavés,40
3,Málaga,39
3,Las Palmas,92
